
2024/03/01 (18:33:02) | ===> btop++ v.1.3.2
2024/03/01 (18:33:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
